Id;Question;Answer
Case 3 ;Användare kan inte öppna vissa poster (Opportunity) men kan öppna andra.;Problemet beror oftast på begränsningar i behörigheterna som användaren har till underliggande entiteteter i posten. Kontrolera så att användaren har behörighet för att komma åt dessa.
Case 6;Vid ändring av ägare till en post (Account, Opportunity etc.) så ändras även ägaren för activities kopplad till posten.;"För att hantera problem som kan uppstå vid hantering av poster som är beroende av en annan entitet (exempelvis Delete av en ""Contact"" som är associerat till en ""Opportunity""), så har CRM en funktionalitet som heter ""Cascading Behavior"". Detta kan konfigureras till att inte ändra entiteter som är kopplade till det övre posten som ändras."
Case 9;Hur får jag rätt personlig signatur på epostmeddelanden som skickas från Ärenden?;Vilka signaturer som finns tillgängliga att välja mellan baseras inte på Ägare eller Current User utan på Avsändare. Då all epost från ärende skickas via en specifik adress måste denna avsändaradressen äga signaturen, den dyker inte annars upp i listan över tillgängliga signaturer.
Case 10;Hur gör man för att lägga till ett nytt land i CRM?;"För att lättast lägga till ett nytt land i CRM går du in på det konto som saknar det aktuella landet. Tryck därefter på förstoringsglaset vid fältet ""Land"" i besöksadress och välj ""+New"" i rutan som dyker upp. Skriv därefter in landskoden och namnet på landet och tryck därefter på Save & Close. Landet bör då automatiskt bytas ut på kontot."
Case 15;När jag skapar en instrumentpanel och sedan delar den till andra får de felmeddelande att de saknar behörigheter. ;Beroende på vilka komponenter som finns i en personlig dashboard, dvs finns det personliga vyer, grafer osv som inte är delade, så kan det vara orsaken till att ni får felmeddelande.Testa alltså att dela vyer, grafer som ingår i dashborad först och se om det hjälper.
Case 17;You cannot assign numbers greater than XXXXX from the number series XXXX’. ;When you receive this error the system is letting you know that you do not have the No. (Number) Series setup to allow you to assign anymore records. “click New to assign the new record with the next number in the series” is not(on) valid for Customer Card. Go to Purchase Invoices and create a new Purchase Invoices and a number will be assign automatically.
Case 18;CRM-rättigheter mellan olika business units - Hur får man till detta?;1 - Skapa en ny säkerhetsroll som endast har ”read/write” rättigheter på BU nivå för ”Leads” och ”Account”. 2 - Skapa två nya Team, en per BU hen ska ha tillgång till och ge dessa team den nya säkerhetsrollen. 3 - Lägg till användaren till dessa team.
Case 21;On my Dynamics access under receipts I cannot see anything located under ‘My circle of sales this fiscal year’, nothing appears.;The view ‘My circle of sales this fiscal year’ will only display sales if you are a manager or are a user with sales/receipts where you are the Transaction CA owner.
Case 23;Har problem med att hitta vissa av mina kunder i CRM.;Problemet kan ligga på att du inte har behörighet att se alla konton, endast de inom din BU. Kontrolera vilket Buisness User du tillhör.
Case 26;Jag ser ej mina medarbetare i CRM, endast den som börjat senast.;Det som saknas är information i fältet Chef för dina medarbetare. Alla du är chef över måste fylla i att du är deras chef.
Case 27;Ibland kommer jag inte in i vissa formulär och formuläret står och tuggar.;Internet Explorer (IE) fungerar dåligt eftersom vissa funktioner i formulär innehåller mycket JavaScript. Det kan vara värt att testa byta till Microsoft Edge eller Google Chrome. 
